Price History: MS129867,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
02/13/26,"1.427,48",,"97,55","7,34","3.997,35","351,90",,"1.427,48","1.427,48"
01/30/26,"1.329,93",,"43,19","3,36","3.720,19","320,57",,"1.329,93","1.329,93"
12/31/25,"1.286,74",,"-32,50","-2,46","3.590,90","305,95",,"1.286,74","1.286,74"
11/28/25,"1.319,24",,"10,77","0,82","3.673,59","315,30",,"1.319,24","1.319,24"
10/31/25,"1.308,47",,"12,05","0,93","3.631,82","310,58",,"1.308,47","1.308,47"
09/30/25,"1.296,42",,"20,05","1,57","3.591,55","306,02",,"1.296,42","1.296,42"
08/29/25,"1.276,37",,"22,42","1,79","3.527,97","298,83",,"1.276,37","1.276,37"
07/31/25,"1.253,95",,"14,46","1,17","3.456,37","290,74",,"1.253,95","1.253,95"
06/30/25,"1.239,49",,"3,30","0,27","3.406,12","285,06",,"1.239,49","1.239,49"
05/30/25,"1.236,19",,"21,03","1,73","3.386,93","282,89",,"1.236,19","1.236,19"
04/30/25,"1.215,16",,"-2,15","-0,18","3.313,95","274,64",,"1.215,16","1.215,16"
03/31/25,"1.217,32",,"20,39","1,70","3.304,74","273,60",,"1.217,32","1.217,32"
02/28/25,"1.196,93",,"40,01","3,46","3.241,01","266,39",,"1.196,93","1.196,93"
01/31/25,"1.156,92",,"27,40","2,43","3.123,14","253,07",,"1.156,92","1.156,92"
12/31/24,"1.129,52",,"-65,73","-5,50","3.040,92","243,77",,"1.129,52","1.129,52"
11/29/24,"1.195,25",,"38,21","3,30","3.211,74","263,09",,"1.195,25","1.195,25"
10/31/24,"1.157,04",,"-0,75","-0,07","3.098,02","250,23",,"1.157,04","1.157,04"
09/30/24,"1.157,80",,"37,48","3,35","3.093,18","249,68",,"1.157,80","1.157,80"
08/30/24,"1.120,32",,"41,21","3,82","2.985,85","237,55",,"1.120,32","1.120,32"
07/31/24,"1.079,11",,"49,40","4,80","2.866,21","224,02",,"1.079,11","1.079,11"
06/28/24,"1.029,71",,"-19,52","-1,86","2.726,68","208,25",,"1.029,71","1.029,71"
05/31/24,"1.049,22",,"51,16","5,13","2.765,91","212,69",,"1.049,22","1.049,22"
04/30/24,"998,06",,"-11,80","-1,17","2.616,65","195,81",,"998,06","998,06"
03/28/24,"1.009,86",,"41,46","4,28","2.637,56","198,18",,"1.009,86","1.009,86"
02/29/24,"968,40",,"-5,84","-0,60","2.521,20","185,02",,"968,40","968,40"
01/31/24,"974,24",,"3,93","0,40","2.529,12","185,92",,"974,24","974,24"
12/29/23,"970,32",,"12,00","1,25","2.510,86","183,85",,"970,32","970,32"
11/30/23,"958,32",,"49,88","5,49","2.473,18","179,59",,"958,32","958,32"
10/31/23,"908,44",,"5,68","0,63","2.335,19","163,99",,"908,44","908,44"
09/29/23,"902,76",,"-32,64","-3,49","2.314,01","161,60",,"902,76","902,76"
08/31/23,"935,40",,"-30,27","-3,13","2.390,53","170,25",,"935,40","935,40"
07/31/23,"965,67",,"-3,68","-0,38","2.459,49","178,04",,"965,67","965,67"
06/30/23,"969,35",,"20,86","2,20","2.459,58","178,05",,"969,35","969,35"
05/31/23,"948,49",,"-59,37","-5,89","2.395,88","170,85",,"948,49","948,49"
04/28/23,"1.007,85",,"19,46","1,97","2.535,49","186,64",,"1.007,85","1.007,85"
03/31/23,"988,39",,"23,75","2,46","2.475,24","179,82",,"988,39","988,39"
02/28/23,"964,64",,"-33,96","-3,40","2.407,20","172,13",,"964,64","964,64"
01/31/23,"998,60",,"23,29","2,39","2.485,91","181,03",,"998,60","998,60"
12/30/22,"975,31",,"-23,39","-2,34","2.420,63","173,65",,"975,31","975,31"
11/30/22,"998,70",,"42,75","4,47","2.472,12","179,47",,"998,70","998,70"
10/31/22,"955,95",,"43,81","4,80","2.358,46","166,62",,"955,95","955,95"
09/30/22,"912,14",,"-102,21","-10,08","2.244,30","153,72",,"912,14","912,14"
08/31/22,"1.014,35",,"-24,19","-2,33","2.488,32","181,30",,"1.014,35","1.014,35"
07/29/22,"1.038,54",,"27,53","2,72","2.540,88","187,24",,"1.038,54","1.038,54"
06/30/22,"1.011,01",,"-59,95","-5,60","2.464,65","178,63",,"1.011,01","1.011,01"
05/31/22,"1.070,97",,"37,53","3,63","2.601,84","194,14",,"1.070,97","1.070,97"
04/29/22,"1.033,43",,"-16,63","-1,58","2.502,11","182,86",,"1.033,43","1.033,43"
03/31/22,"1.050,06",,"38,48","3,80","2.531,56","186,19",,"1.050,06","1.050,06"
02/28/22,"1.011,59",,"-0,13","-0,01","2.431,21","174,85",,"1.011,59","1.011,59"
01/31/22,"1.011,72",,"-4,96","-0,49","2.426,40","174,30",,"1.011,72","1.011,72"
12/31/21,"1.016,68",,"51,04","5,29","2.430,21","174,73",,"1.016,68","1.016,68"
11/30/21,"965,64",,"-27,24","-2,74","2.302,16","160,26",,"965,64","965,64"
10/29/21,"992,88",,"12,88","1,31","2.360,55","166,86",,"992,88","992,88"
09/30/21,"980,00",,"-37,16","-3,65","2.323,36","162,65",,"980,00","980,00"
08/31/21,"1.017,16",,"14,23","1,42","2.404,60","171,84",,"1.017,16","1.017,16"
07/30/21,"1.002,93",,"9,32","0,94","2.365,54","167,42",,"1.002,93","1.002,93"
06/30/21,"993,61",,"-15,66","-1,55","2.334,65","163,93",,"993,61","993,61"
05/28/21,"1.009,27",,"-9,79","-0,96","2.362,24","167,05",,"1.009,27","1.009,27"
04/30/21,"1.019,06",,"20,73","2,08","2.377,09","168,73",,"1.019,06","1.019,06"
03/31/21,"998,33",,"67,23","7,22","2.318,34","162,09",,"998,33","998,33"
02/26/21,"931,10",,"-19,14","-2,01","2.155,13","143,64",,"931,10","931,10"
01/29/21,"950,24",,"-7,66","-0,80","2.194,97","148,14",,"950,24","950,24"
12/31/20,"957,90",,"2,98","0,31","2.205,37","149,32",,"957,90","957,90"
11/30/20,"954,92",,"61,46","6,88","2.192,47","147,86",,"954,92","954,92"
10/30/20,"893,46",,"-2,28","-0,25","2.046,24","131,33",,"893,46","893,46"
09/30/20,"895,74",,"-15,88","-1,74","2.045,02","131,19",,"895,74","895,74"
08/31/20,"911,62",,"-5,95","-0,65","2.074,55","134,53",,"911,62","911,62"
07/31/20,"917,56",,"25,71","2,88","2.082,95","135,48",,"917,56","917,56"
06/30/20,"891,85",,"-14,44","-1,59","2.015,61","127,86",,"891,85","891,85"
05/29/20,"906,29",,"24,61","2,79","2.039,29","130,54",,"906,29","906,29"
04/30/20,"881,68",,"39,38","4,68","1.976,60","123,45",,"881,68","881,68"
03/31/20,"842,30",,"-126,59","-13,07","1.881,48","112,70",,"842,30","842,30"
02/28/20,"968,89",,"-69,82","-6,72","2.156,91","143,84",,"968,89","968,89"
01/31/20,"1.038,71",,"23,98","2,36","2.307,20","160,83",,"1.038,71","1.038,71"
12/31/19,"1.014,74",,"21,12","2,13","2.246,66","153,98",,"1.014,74","1.014,74"
11/29/19,"993,62",,"-8,26","-0,82","2.193,78","148,01",,"993,62","993,62"
10/31/19,"1.001,88",,"0,64","0,06","2.205,47","149,33",,"1.001,88","1.001,88"
09/30/19,"1.001,24",,"29,00","2,98","2.197,71","148,45",,"1.001,24","1.001,24"
08/30/19,"972,24",,"14,95","1,56","2.128,02","140,57",,"972,24","972,24"
07/31/19,"957,30",,"1,87","0,20","2.089,08","136,17",,"957,30","957,30"
06/28/19,"955,43",,"29,47","3,18","2.076,94","134,80",,"955,43","955,43"
05/31/19,"925,97",,"-15,60","-1,66","2.006,30","126,81",,"925,97","925,97"
04/30/19,"941,57",,"-0,19","-0,02","2.028,86","129,36",,"941,57","941,57"
03/29/19,"941,76",,"17,47","1,89","2.021,98","128,58",,"941,76","941,76"
02/28/19,"924,29",,"22,57","2,50","1.976,55","123,45",,"924,29","924,29"
01/31/19,"901,72",,"37,80","4,38","1.923,75","117,48",,"901,72","901,72"
12/31/18,"863,92",,"-49,37","-5,41","1.836,35","107,60",,"863,92","863,92"
11/30/18,"913,29",,"29,82","3,38","1.935,40","118,80",,"913,29","913,29"
10/31/18,"883,47",,"-18,50","-2,05","1.866,07","110,96",,"883,47","883,47"
09/28/18,"901,98",,"2,48","0,28","1.898,67","114,64",,"901,98","901,98"
08/31/18,"899,50",,"-6,17","-0,68","1.888,19","113,46",,"899,50","899,50"
07/31/18,"905,67",,"21,20","2,40","1.895,49","114,28",,"905,67","905,67"
06/29/18,"884,47",,"14,78","1,70","1.843,63","108,42",,"884,47","884,47"
05/31/18,"869,69",,"-22,19","-2,49","1.804,25","103,97",,"869,69","869,69"
04/30/18,"891,88",,"25,52","2,95","1.839,72","107,98",,"891,88","891,88"
03/29/18,"866,36",,"2,71","0,31","1.779,54","101,18",,"866,36","866,36"
02/28/18,"863,65",,"-43,90","-4,84","1.767,91","99,86",,"863,65","863,65"
01/31/18,"907,55",,"-15,46","-1,68","1.853,83","109,57",,"907,55","907,55"
12/29/17,"923,01",,"-17,44","-1,85","1.879,57","112,48",,"923,01","923,01"
11/30/17,"940,45",,"14,18","1,53","1.910,01","115,93",,"940,45","940,45"
10/31/17,"926,27",,"1,36","0,15","1.875,08","111,98",,"926,27","926,27"
09/29/17,"924,91",,"-7,12","-0,76","1.866,44","111,00",,"924,91","924,91"
08/31/17,"932,03",,"1,02","0,11","1.876,27","112,11",,"932,03","932,03"
07/31/17,"931,02",,"15,85","1,73","1.868,32","111,21",,"931,02","931,02"
06/30/17,"915,16",,"-28,05","-2,97","1.830,39","106,92",,"915,16","915,16"
05/31/17,"943,21",,"25,62","2,79","1.876,49","112,14",,"943,21","943,21"
04/28/17,"917,58",,"-8,37","-0,90","1.818,11","105,54",,"917,58","917,58"
03/31/17,"925,95",,"8,98","0,98","1.827,98","106,65",,"925,95","925,95"
02/28/17,"916,98",,"18,44","2,05","1.804,76","104,03",,"916,98","916,98"
01/31/17,"898,54",,"-5,80","-0,64","1.765,20","99,55",,"898,54","898,54"
12/30/16,"904,34",,"41,56","4,82","1.771,48","100,27",,"904,34","904,34"
11/30/16,"862,78",,"-26,33","-2,96","1.686,19","90,62",,"862,78","862,78"
10/31/16,"889,11",,"-16,46","-1,82","1.732,51","95,86",,"889,11","889,11"
09/30/16,"905,57",,"2,96","0,33","1.758,77","98,83",,"905,57","905,57"
08/31/16,"902,61",,"-30,91","-3,31","1.748,72","97,69",,"902,61","902,61"
07/29/16,"933,52",,"7,44","0,80","1.803,39","103,87",,"933,52","933,52"
06/30/16,"926,08",,"29,83","3,33","1.784,26","101,71",,"926,08","926,08"
05/31/16,"896,24",,"8,75","0,99","1.717,16","94,12",,"896,24","896,24"
04/29/16,"887,49",,"-6,76","-0,76","1.690,90","91,16",,"887,49","887,49"
03/31/16,"894,25",,"37,59","4,39","1.698,00","91,96",,"894,25","894,25"
02/29/16,"856,66",,"-2,03","-0,24","1.622,28","83,40",,"856,66","856,66"
01/29/16,"858,68",,"10,67","1,26","1.623,12","83,49",,"858,68","858,68"
12/31/15,"848,02",,"-11,81","-1,37","1.598,32","80,69",,"848,02","848,02"
11/30/15,"859,82",,"-16,37","-1,87","1.616,71","82,77",,"859,82","859,82"
10/30/15,"876,19",,"44,57","5,36","1.642,24","85,65",,"876,19","876,19"
09/30/15,"831,62",,"-36,02","-4,15","1.553,54","75,63",,"831,62","831,62"
08/31/15,"867,65",,"-45,66","-5,00","1.616,89","82,79",,"867,65","867,65"
07/31/15,"913,31",,"26,33","2,97","1.697,82","91,94",,"913,31","913,31"
06/30/15,"886,98",,"-36,35","-3,94","1.643,00","85,74",,"886,98","886,98"
05/29/15,"923,33",,"0,08","0,01","1.702,52","92,47",,"923,33","923,33"
04/30/15,"923,25",,"16,01","1,76","1.693,51","91,45",,"923,25","923,25"
03/31/15,"907,24",,"-12,08","-1,31","1.657,14","87,34",,"907,24","907,24"
02/27/15,"919,32",,"3,40","0,37","1.675,29","89,39",,"919,32","919,32"
01/30/15,"915,93",,"23,68","2,65","1.665,88","88,33",,"915,93","915,93"
12/31/14,"892,25",,"-12,46","-1,38","1.618,57","82,98",,"892,25","892,25"
11/28/14,"904,71",,"18,28","2,06","1.637,49","85,12",,"904,71","904,71"
10/31/14,"886,42",,"19,15","2,21","1.600,29","80,91",,"886,42","886,42"
09/30/14,"867,27",,"-4,21","-0,48","1.561,22","76,50",,"867,27","867,27"
08/29/14,"871,48",,"13,02","1,52","1.565,04","76,93",,"871,48","871,48"
07/31/14,"858,46",,"-8,06","-0,93","1.537,73","73,84",,"858,46","858,46"
06/30/14,"866,52",,"10,00","1,17","1.547,43","74,94",,"866,52","866,52"
05/30/14,"856,52",,"16,88","2,01","1.521,18","71,97",,"856,52","856,52"
04/30/14,"839,64",,"8,43","1,01","1.483,18","67,67",,"839,64","839,64"
03/31/14,"831,21",,"13,34","1,63","1.460,81","65,14",,"831,21","831,21"
02/28/14,"817,88",,"21,69","2,72","1.433,91","62,10",,"817,88","817,88"
01/31/14,"796,18",,"-13,54","-1,67","1.393,47","57,53",,"796,18","796,18"
12/31/13,"809,72",,"11,52","1,44","1.413,81","59,83",,"809,72","809,72"
11/29/13,"798,20",,"-5,24","-0,65","1.389,52","57,08",,"798,20","798,20"
10/31/13,"803,44",,"36,67","4,78","1.392,98","57,48",,"803,44","803,44"
09/30/13,"766,77",,"25,75","3,47","1.326,24","49,93",,"766,77","766,77"
08/30/13,"741,02",,"-21,65","-2,84","1.277,86","44,46",,"741,02","741,02"
07/31/13,"762,67",,"22,42","3,03","1.311,82","48,30",,"762,67","762,67"
06/28/13,"740,25",,"-4,48","-0,60","1.269,60","43,53",,"740,25","740,25"
05/31/13,"744,73",,"-37,38","-4,78","1.269,62","43,53",,"744,73","744,73"
04/30/13,"782,11",,"42,90","5,80","1.324,77","49,77",,"782,11","782,11"
03/28/13,"739,22",,"31,12","4,39","1.245,67","40,82",,"739,22","739,22"
02/28/13,"708,10",,"3,49","0,50","1.189,92","34,52",,"708,10","708,10"
01/31/13,"704,60",,"23,08","3,39","1.181,70","33,59",,"704,60","704,60"
12/31/12,"681,52",,"2,09","0,31","1.139,41","28,81",,"681,52","681,52"
11/30/12,"679,43",,"-9,05","-1,31","1.132,99","28,08",,"679,43","679,43"
10/31/12,"688,48",,"-13,33","-1,90","1.143,70","29,29",,"688,48","688,48"
09/28/12,"701,81",,"9,21","1,33","1.163,14","31,49",,"701,81","701,81"
08/31/12,"692,60",,"-4,75","-0,68","1.143,03","29,22",,"692,60","692,60"
07/31/12,"697,35",,"7,92","1,15","1.147,11","29,68",,"697,35","697,35"
06/29/12,"689,43",,"33,55","5,12","1.130,32","27,78",,"689,43","689,43"
05/31/12,"655,88",,"-18,43","-2,73","1.068,20","20,76",,"655,88","655,88"
04/30/12,"674,31",,"-6,13","-0,90","1.086,32","22,81",,"674,31","674,31"
03/30/12,"680,44",,"3,63","0,54","1.089,70","23,19",,"680,44","680,44"
02/29/12,"676,81",,"14,49","2,19","1.080,57","22,16",,"676,81","676,81"
01/31/12,"662,32",,"-16,16","-2,38","1.055,17","19,29",,"662,32","662,32"
12/30/11,"678,49",,"7,52","1,12","1.077,86","21,85",,"678,49","678,49"
11/30/11,"670,97",,"-3,19","-0,47","1.063,15","20,19",,"670,97","670,97"
10/31/11,"674,16",,"18,36","2,80","1.059,40","19,77",,"674,16","674,16"
09/30/11,"655,80",,"-5,31","-0,80","1.027,93","16,21",,"655,80","655,80"
08/31/11,"661,10",,"-27,32","-3,97","1.032,12","16,68",,"661,10","661,10"
07/29/11,"688,42",,"-21,00","-2,96","1.071,50","21,13",,"688,42","688,42"
06/30/11,"709,42",,"-7,50","-1,05","1.099,97","24,35",,"709,42","709,42"
05/31/11,"716,92",,"-9,76","-1,34","1.103,70","24,77",,"716,92","716,92"
04/29/11,"726,68",,"7,55","1,05","1.108,55","25,32",,"726,68","726,68"
03/31/11,"719,13",,"-10,63","-1,46","1.090,29","23,26",,"719,13","719,13"
02/28/11,"729,77",,"14,06","1,96","1.103,33","24,73",,"729,77","729,77"
01/31/11,"715,70",,"10,61","1,50","1.080,28","22,13",,"715,70","715,70"
12/31/10,"705,10",,"21,74","3,18","1.061,73","20,03",,"705,10","705,10"
11/30/10,"683,36",,"-25,53","-3,60","1.026,16","16,01",,"683,36","683,36"
10/29/10,"708,89",,"18,30","2,65","1.058,61","19,68",,"708,89","708,89"
09/30/10,"690,59",,"14,96","2,21","1.028,70","16,29",,"690,59","690,59"
08/31/10,"675,63",,"6,68","1,00","1.003,23","13,42",,"675,63","675,63"
07/30/10,"668,95",,"37,11","5,87","990,33","11,96",,"668,95","668,95"
06/30/10,"631,83",,"-6,30","-0,99","932,07","5,37",,"631,83","631,83"
05/28/10,"638,13",,"-38,10","-5,63","934,26","5,62",,"638,13","638,13"
04/30/10,"676,23",,"-11,47","-1,67","980,31","10,82",,"676,23","676,23"
03/31/10,"687,69",,"26,56","4,02","991,41","12,08",,"687,69","687,69"
02/26/10,"661,13",,"-1,57","-0,24","950,38","7,44",,"661,13","661,13"
01/29/10,"662,70",,"-34,30","-4,92","950,90","7,50",,"662,70","662,70"
12/31/09,"697,00",,"29,28","4,39","997,78","12,80",,"697,00","697,00"
11/30/09,"667,72",,"19,19","2,96","953,06","7,74",,"667,72","667,72"
10/30/09,"648,53",,"-25,87","-3,84","920,97","4,11",,"648,53","648,53"
09/30/09,"674,40",,"15,67","2,38","955,31","8,00",,"674,40","674,40"
08/31/09,"658,73",,"13,55","2,10","930,58","5,20",,"658,73","658,73"
07/31/09,"645,18",,"25,82","4,17","908,30","2,68",,"645,18","645,18"
06/30/09,"619,36",,"6,72","1,10","868,99","-1,76",,"619,36","619,36"
05/29/09,"612,64",,"9,67","1,60","852,72","-3,60",,"612,64","612,64"
04/30/09,"602,97",,"12,43","2,10","830,73","-6,09",,"602,97","602,97"
03/31/09,"590,54",,"-2,57","-0,43","807,20","-8,75",,"590,54","590,54"
02/27/09,"593,12",,"-44,01","-6,91","808,19","-8,63",,"593,12","593,12"
01/30/09,"637,13",,"-41,05","-6,05","866,81","-2,01",,"637,13","637,13"
12/31/08,"678,18",,"11,16","1,67","919,95","4,00",,"678,18","678,18"
11/28/08,"667,02",,"9,40","1,43","902,74","2,05",,"667,02","667,02"
10/31/08,"657,63",,"-67,72","-9,34","885,05","0,05",,"657,63","657,63"
09/30/08,"725,34",,"-77,43","-9,65","973,69","10,08",,"725,34","725,34"
08/29/08,"802,77",,"8,31","1,05","1.074,55","21,48",,"802,77","802,77"
07/31/08,"794,46",,"-27,43","-3,34","1.060,53","19,89",,"794,46","794,46"
06/30/08,"821,89",,"-57,21","-6,51","1.094,44","23,73",,"821,89","821,89"
05/30/08,"879,11",,"20,50","2,39","1.164,90","31,69",,"879,11","879,11"
04/30/08,"858,61",,"37,62","4,58","1.127,82","27,50",,"858,61","858,61"
03/31/08,"820,99",,"-27,38","-3,23","1.071,76","21,16",,"820,99","820,99"
02/29/08,"848,38",,"-40,11","-4,51","1.105,12","24,93",,"848,38","848,38"
01/31/08,"888,49",,"-79,44","-8,21","1.156,19","30,71",,"888,49","888,49"
12/31/07,"967,93",,"4,06","0,42","1.257,16","42,12",,"967,93","967,93"
11/30/07,"963,86",,"-17,05","-1,74","1.250,07","41,32",,"963,86","963,86"
10/31/07,"980,91",,"40,68","4,33","1.267,65","43,31",,"980,91","980,91"
09/28/07,"940,23",,"31,11","3,42","1.213,09","37,14",,"940,23","940,23"
08/31/07,"909,13",,"19,19","2,16","1.171,15","32,40",,"909,13","909,13"
07/31/07,"889,94",,"-37,94","-4,09","1.143,40","29,26",,"889,94","889,94"
06/29/07,"927,88",,"-25,63","-2,69","1.189,58","34,48",,"927,88","927,88"
05/31/07,"953,51",,"39,36","4,31","1.215,65","37,43",,"953,51","953,51"
04/30/07,"914,15",,"18,83","2,10","1.159,35","31,06",,"914,15","914,15"
03/30/07,"895,32",,"18,39","2,10","1.129,62","27,70",,"895,32","895,32"
02/28/07,"876,93",,"-1,65","-0,19","1.104,36","24,85",,"876,93","876,93"
01/31/07,"878,58",,"15,98","1,85","1.105,07","24,93",,"878,58","878,58"
12/29/06,"862,60",,"31,06","3,73","1.082,74","22,40",,"862,60","862,60"
11/30/06,"831,54",,"12,54","1,53","1.042,14","17,81",,"831,54","831,54"
10/31/06,"818,99",,"31,93","4,06","1.022,64","15,61",,"818,99","818,99"
09/29/06,"787,06",,"23,92","3,13","981,11","10,91",,"787,06","787,06"
08/31/06,"763,14",,"17,27","2,32","949,71","7,36",,"763,14","763,14"
07/31/06,"745,87",,"17,62","2,42","925,87","4,67",,"745,87","745,87"
06/30/06,"728,25",,"5,70","0,79","901,04","1,86",,"728,25","728,25"
05/31/06,"722,55",,"-15,31","-2,07","889,22","0,53",,"722,55","722,55"
04/28/06,"737,86",,"1,65","0,22","900,46","1,80",,"737,86","737,86"
03/31/06,"736,20",,"5,86","0,80","893,51","1,01",,"736,20","736,20"
02/28/06,"730,35",,,,"884,57",,,"730,35","730,35"