Price History: 990100,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
02/28/06,"1.002,02",,,,"2.957,45",,,"1.002,02","1.002,02"
03/31/06,"1.024,09",,"22,07","2,20","3.031,11","2,49",,"1.024,09","1.024,09"
04/28/06,"1.031,72",,"7,63","0,75","3.060,23","3,48",,"1.031,72","1.031,72"
05/31/06,"983,28",,"-48,45","-4,70","2.928,55","-0,98",,"983,28","983,28"
06/30/06,"986,77",,"3,49","0,36","2.944,46","-0,44",,"986,77","986,77"
07/31/06,"991,52",,"4,75","0,48","2.961,36","0,13",,"991,52","991,52"
08/31/06,"1.014,79",,"23,27","2,35","3.038,65","2,75",,"1.014,79","1.014,79"
09/29/06,"1.031,86",,"17,07","1,68","3.094,47","4,63",,"1.031,86","1.031,86"
10/31/06,"1.063,05",,"31,19","3,02","3.190,55","7,88",,"1.063,05","1.063,05"
11/30/06,"1.073,11",,"10,06","0,95","3.228,15","9,15",,"1.073,11","1.073,11"
12/29/06,"1.100,64",,"27,53","2,57","3.314,45","12,07",,"1.100,64","1.100,64"
01/31/07,"1.119,73",,"19,09","1,73","3.374,54","14,10",,"1.119,73","1.119,73"
02/28/07,"1.105,03",,"-14,70","-1,31","3.336,06","12,80",,"1.105,03","1.105,03"
03/30/07,"1.119,09",,"14,06","1,27","3.387,82","14,55",,"1.119,09","1.119,09"
04/30/07,"1.155,96",,"36,87","3,29","3.508,29","18,63",,"1.155,96","1.155,96"
05/31/07,"1.191,11",,"35,15","3,04","3.630,07","22,74",,"1.191,11","1.191,11"
06/29/07,"1.178,02",,"-13,09","-1,10","3.596,03","21,59",,"1.178,02","1.178,02"
07/31/07,"1.141,24",,"-36,78","-3,12","3.486,84","17,90",,"1.141,24","1.141,24"
08/31/07,"1.138,45",,"-2,80","-0,24","3.486,57","17,89",,"1.138,45","1.138,45"
09/28/07,"1.170,96",,"32,51","2,86","3.592,28","21,47",,"1.170,96","1.170,96"
10/31/07,"1.195,11",,"24,15","2,06","3.670,05","24,09",,"1.195,11","1.195,11"
11/30/07,"1.141,96",,"-53,15","-4,45","3.514,26","18,83",,"1.141,96","1.141,96"
12/31/07,"1.131,75",,"-10,22","-0,89","3.486,81","17,90",,"1.131,75","1.131,75"
01/31/08,"1.035,87",,"-95,87","-8,47","3.194,47","8,01",,"1.035,87","1.035,87"
02/29/08,"1.016,44",,"-19,44","-1,88","3.141,00","6,21",,"1.016,44","1.016,44"
03/31/08,"991,90",,"-24,53","-2,41","3.075,66","4,00",,"991,90","991,90"
04/30/08,"1.050,08",,"58,18","5,87","3.267,12","10,47",,"1.050,08","1.050,08"
05/30/08,"1.062,52",,"12,43","1,18","3.323,47","12,38",,"1.062,52","1.062,52"
06/30/08,"973,71",,"-88,80","-8,36","3.051,04","3,16",,"973,71","973,71"
07/31/08,"955,19",,"-18,53","-1,90","2.996,33","1,31",,"955,19","955,19"
08/29/08,"964,33",,"9,15","0,96","3.032,36","2,53",,"964,33","964,33"
09/30/08,"858,56",,"-105,77","-10,97","2.706,70","-8,48",,"858,56","858,56"
10/31/08,"717,27",,"-141,29","-16,46","2.264,36","-23,44",,"717,27","717,27"
11/28/08,"671,93",,"-45,34","-6,32","2.128,41","-28,03",,"671,93","671,93"
12/31/08,"677,81",,"5,88","0,88","2.151,25","-27,26",,"677,81","677,81"
01/30/09,"629,15",,"-48,66","-7,18","1.999,32","-32,40",,"629,15","629,15"
02/27/09,"571,19",,"-57,96","-9,21","1.821,59","-38,41",,"571,19","571,19"
03/31/09,"605,81",,"34,62","6,06","1.938,52","-34,45",,"605,81","605,81"
04/30/09,"666,53",,"60,72","10,02","2.140,75","-27,62",,"666,53","666,53"
05/29/09,"701,17",,"34,64","5,20","2.263,75","-23,46",,"701,17","701,17"
06/30/09,"699,54",,"-1,62","-0,23","2.263,17","-23,48",,"699,54","699,54"
07/31/09,"750,75",,"51,21","7,32","2.431,71","-17,78",,"750,75","750,75"
08/31/09,"777,08",,"26,33","3,51","2.523,31","-14,68",,"777,08","777,08"
09/30/09,"799,64",,"22,56","2,90","2.601,74","-12,03",,"799,64","799,64"
10/30/09,"781,15",,"-18,49","-2,31","2.543,89","-13,98",,"781,15","781,15"
11/30/09,"803,66",,"22,50","2,88","2.623,84","-11,28",,"803,66","803,66"
12/31/09,"832,50",,"28,84","3,59","2.721,60","-7,97",,"832,50","832,50"
01/29/10,"801,93",,"-30,57","-3,67","2.623,68","-11,29",,"801,93","801,93"
02/26/10,"816,11",,"14,18","1,77","2.675,77","-9,52",,"816,11","816,11"
03/31/10,"867,17",,"51,06","6,26","2.851,80","-3,57",,"867,17","867,17"
04/30/10,"867,80",,"0,63","0,07","2.860,55","-3,28",,"867,80","867,80"
05/31/10,"799,13",,"-68,67","-7,91","2.646,64","-10,51",,"799,13","799,13"
06/30/10,"764,76",,"-34,37","-4,30","2.537,32","-14,21",,"764,76","764,76"
07/30/10,"807,98",,"43,22","5,65","2.683,56","-9,26",,"807,98","807,98"
08/31/10,"779,26",,"-28,72","-3,55","2.594,39","-12,28",,"779,26","779,26"
09/30/10,"831,82",,"52,56","6,75","2.775,70","-6,15",,"831,82","831,82"
10/29/10,"854,88",,"23,05","2,77","2.855,40","-3,45",,"854,88","854,88"
11/30/10,"850,44",,"-4,44","-0,52","2.847,38","-3,72",,"850,44","850,44"
12/31/10,"897,67",,"47,23","5,55","3.009,34","1,75",,"897,67","897,67"
01/31/11,"914,44",,"16,77","1,87","3.068,38","3,75",,"914,44","914,44"
02/28/11,"939,61",,"25,18","2,75","3.159,42","6,83",,"939,61","939,61"
03/31/11,"925,28",,"-14,33","-1,53","3.120,60","5,52",,"925,28","925,28"
04/29/11,"944,21",,"18,93","2,05","3.193,31","7,97",,"944,21","944,21"
05/31/11,"928,62",,"-15,59","-1,65","3.155,94","6,71",,"928,62","928,62"
06/30/11,"912,53",,"-16,09","-1,73","3.107,13","5,06",,"912,53","912,53"
07/29/11,"886,99",,"-25,54","-2,80","3.023,26","2,23",,"886,99","886,99"
08/31/11,"825,07",,"-61,92","-6,98","2.819,99","-4,65",,"825,07","825,07"
09/30/11,"773,27",,"-51,79","-6,28","2.650,21","-10,39",,"773,27","773,27"
10/31/11,"838,71",,"65,44","8,46","2.877,50","-2,70",,"838,71","838,71"
11/30/11,"825,88",,"-12,83","-1,53","2.842,27","-3,89",,"825,88","825,88"
12/30/11,"829,78",,"3,90","0,47","2.860,03","-3,29",,"829,78","829,78"
01/31/12,"864,95",,"35,17","4,24","2.984,61","0,92",,"864,95","864,95"
02/29/12,"903,92",,"38,97","4,51","3.127,41","5,75",,"903,92","903,92"
03/30/12,"917,47",,"13,56","1,50","3.184,27","7,67",,"917,47","917,47"
04/30/12,"901,24",,"-16,24","-1,77","3.137,67","6,09",,"901,24","901,24"
05/31/12,"836,97",,"-64,27","-7,13","2.928,47","-0,98",,"836,97","836,97"
06/29/12,"871,45",,"34,48","4,12","3.055,35","3,31",,"871,45","871,45"
07/31/12,"882,46",,"11,01","1,26","3.097,35","4,73",,"882,46","882,46"
08/31/12,"897,98",,"15,52","1,76","3.160,95","6,88",,"897,98","897,98"
09/28/12,"915,30",,"17,32","1,93","3.230,30","9,23",,"915,30","915,30"
10/31/12,"910,29",,"-5,00","-0,55","3.216,32","8,75",,"910,29","910,29"
11/30/12,"921,78",,"11,49","1,26","3.265,33","10,41",,"921,78","921,78"
12/31/12,"938,20",,"16,42","1,78","3.329,55","12,58",,"938,20","938,20"
01/31/13,"987,76",,"49,56","5,28","3.509,48","18,67",,"987,76","987,76"
02/28/13,"1.000,47",,"12,71","1,29","3.563,00","20,48",,"1.000,47","1.000,47"
03/29/13,"1.024,68",,"24,21","2,42","3.660,18","23,76",,"1.024,68","1.024,68"
04/30/13,"1.050,71",,"26,03","2,54","3.764,78","27,30",,"1.050,71","1.050,71"
05/31/13,"1.062,37",,"11,66","1,11","3.822,27","29,24",,"1.062,37","1.062,37"
06/28/13,"1.035,15",,"-27,22","-2,56","3.731,35","26,17",,"1.035,15","1.035,15"
07/31/13,"1.083,35",,"48,20","4,66","3.909,03","32,18",,"1.083,35","1.083,35"
08/30/13,"1.058,79",,"-24,55","-2,27","3.830,09","29,51",,"1.058,79","1.058,79"
09/30/13,"1.096,38",,"37,59","3,55","3.974,54","34,39",,"1.096,38","1.096,38"
10/31/13,"1.138,89",,"42,51","3,88","4.132,79","39,74",,"1.138,89","1.138,89"
11/29/13,"1.161,54",,"22,64","1,99","4.224,45","42,84",,"1.161,54","1.161,54"
12/31/13,"1.184,50",,"22,96","1,98","4.314,24","45,88",,"1.184,50","1.184,50"
01/31/14,"1.145,32",,"-39,18","-3,31","4.175,35","41,18",,"1.145,32","1.145,32"
02/28/14,"1.191,37",,"46,05","4,02","4.353,42","47,20",,"1.191,37","1.191,37"
03/31/14,"1.190,78",,"-0,59","-0,05","4.364,00","47,56",,"1.190,78","1.190,78"
04/30/14,"1.197,13",,"6,35","0,53","4.398,20","48,72",,"1.197,13","1.197,13"
05/30/14,"1.219,95",,"22,82","1,91","4.501,27","52,20",,"1.219,95","1.219,95"
06/30/14,"1.235,07",,"15,11","1,24","4.565,38","54,37",,"1.235,07","1.235,07"
07/31/14,"1.224,52",,"-10,54","-0,85","4.530,78","53,20",,"1.224,52","1.224,52"
08/29/14,"1.254,40",,"29,87","2,44","4.652,32","57,31",,"1.254,40","1.254,40"
09/30/14,"1.239,84",,"-14,55","-1,16","4.607,92","55,81",,"1.239,84","1.239,84"
10/31/14,"1.252,99",,"13,15","1,06","4.661,46","57,62",,"1.252,99","1.252,99"
11/28/14,"1.287,10",,"34,10","2,72","4.798,31","62,24",,"1.287,10","1.287,10"
12/31/14,"1.275,77",,"-11,33","-0,88","4.763,03","61,05",,"1.275,77","1.275,77"
01/30/15,"1.267,92",,"-7,85","-0,62","4.738,12","60,21",,"1.267,92","1.267,92"
02/27/15,"1.340,41",,"72,49","5,72","5.019,74","69,73",,"1.340,41","1.340,41"
03/31/15,"1.331,35",,"-9,06","-0,68","5.001,40","69,11",,"1.331,35","1.331,35"
04/30/15,"1.342,77",,"11,42","0,86","5.056,02","70,96",,"1.342,77","1.342,77"
05/29/15,"1.355,81",,"13,04","0,97","5.124,45","73,27",,"1.355,81","1.355,81"
06/30/15,"1.314,17",,"-41,64","-3,07","4.975,78","68,25",,"1.314,17","1.314,17"
07/31/15,"1.346,06",,"31,89","2,43","5.101,54","72,50",,"1.346,06","1.346,06"
08/31/15,"1.253,95",,"-92,11","-6,84","4.764,19","61,09",,"1.253,95","1.253,95"
09/30/15,"1.207,30",,"-46,65","-3,72","4.597,24","55,45",,"1.207,30","1.207,30"
10/30/15,"1.301,23",,"93,94","7,78","4.960,57","67,73",,"1.301,23","1.301,23"
11/30/15,"1.307,32",,"6,08","0,47","4.994,78","68,89",,"1.307,32","1.307,32"
12/31/15,"1.277,72",,"-29,60","-2,26","4.889,03","65,31",,"1.277,72","1.277,72"
01/29/16,"1.207,65",,"-70,07","-5,48","4.625,56","56,40",,"1.207,65","1.207,65"
02/29/16,"1.186,54",,"-21,11","-1,75","4.557,42","54,10",,"1.186,54","1.186,54"
03/31/16,"1.245,96",,"59,42","5,01","4.800,68","62,32",,"1.245,96","1.245,96"
04/29/16,"1.254,11",,"8,15","0,65","4.844,94","63,82",,"1.254,11","1.254,11"
05/31/16,"1.271,96",,"17,86","1,42","4.934,77","66,86",,"1.271,96","1.271,96"
06/30/16,"1.253,24",,"-18,72","-1,47","4.872,20","64,74",,"1.253,24","1.253,24"
07/29/16,"1.303,90",,"50,66","4,04","5.074,24","71,57",,"1.303,90","1.303,90"
08/31/16,"1.306,57",,"2,68","0,21","5.098,16","72,38",,"1.306,57","1.306,57"
09/30/16,"1.306,85",,"0,28","0,02","5.110,39","72,80",,"1.306,85","1.306,85"
10/31/16,"1.297,07",,"-9,78","-0,75","5.077,53","71,69",,"1.297,07","1.297,07"
11/30/16,"1.328,80",,"31,73","2,45","5.214,07","76,30",,"1.328,80","1.328,80"
12/30/16,"1.364,26",,"35,46","2,67","5.360,72","81,26",,"1.364,26","1.364,26"
01/31/17,"1.380,98",,"16,73","1,23","5.430,96","83,64",,"1.380,98","1.380,98"
02/28/17,"1.421,09",,"40,11","2,90","5.601,81","89,41",,"1.421,09","1.421,09"
03/31/17,"1.431,24",,"10,15","0,71","5.659,82","91,37",,"1.431,24","1.431,24"
04/28/17,"1.445,54",,"14,29","1,00","5.727,83","93,67",,"1.445,54","1.445,54"
05/31/17,"1.462,16",,"16,63","1,15","5.818,23","96,73",,"1.462,16","1.462,16"
06/30/17,"1.460,46",,"-1,70","-0,12","5.821,76","96,85",,"1.460,46","1.460,46"
07/31/17,"1.480,47",,"20,01","1,37","5.906,88","99,73",,"1.480,47","1.480,47"
08/31/17,"1.479,55",,"-0,92","-0,06","5.918,61","100,13",,"1.479,55","1.479,55"
09/29/17,"1.511,49",,"31,93","2,16","6.058,28","104,85",,"1.511,49","1.511,49"
10/31/17,"1.548,72",,"37,24","2,46","6.213,82","110,11",,"1.548,72","1.548,72"
11/30/17,"1.570,39",,"21,66","1,40","6.314,75","113,52",,"1.570,39","1.570,39"
12/29/17,"1.586,20",,"15,81","1,01","6.386,38","115,94",,"1.586,20","1.586,20"
01/31/18,"1.644,98",,"58,78","3,71","6.628,28","124,12",,"1.644,98","1.644,98"
02/28/18,"1.584,23",,"-60,75","-3,69","6.397,04","116,30",,"1.584,23","1.584,23"
03/30/18,"1.543,92",,"-40,31","-2,54","6.253,45","111,45",,"1.543,92","1.543,92"
04/30/18,"1.570,81",,"26,89","1,74","6.378,71","115,68",,"1.570,81","1.570,81"
05/31/18,"1.585,73",,"14,92","0,95","6.465,89","118,63",,"1.585,73","1.585,73"
06/29/18,"1.588,96",,"3,23","0,20","6.489,54","119,43",,"1.588,96","1.588,96"
07/31/18,"1.637,83",,"48,87","3,08","6.695,32","126,39",,"1.637,83","1.637,83"
08/31/18,"1.656,53",,"18,70","1,14","6.788,11","129,53",,"1.656,53","1.656,53"
09/28/18,"1.665,83",,"9,30","0,56","6.840,35","131,29",,"1.665,83","1.665,83"
10/31/18,"1.551,22",,"-114,62","-6,88","6.376,56","115,61",,"1.551,22","1.551,22"
11/30/18,"1.566,30",,"15,08","0,97","6.453,23","118,20",,"1.566,30","1.566,30"
12/31/18,"1.441,42",,"-124,88","-7,97","5.948,21","101,13",,"1.441,42","1.441,42"
01/31/19,"1.544,28",,"102,86","7,14","6.380,93","115,76",,"1.544,28","1.544,28"
02/28/19,"1.593,04",,"48,76","3,16","6.597,12","123,07",,"1.593,04","1.593,04"
03/29/19,"1.614,52",,"21,48","1,35","6.708,00","126,82",,"1.614,52","1.614,52"
04/30/19,"1.672,39",,"57,87","3,58","6.964,44","135,49",,"1.672,39","1.672,39"
05/31/19,"1.571,95",,"-100,44","-6,01","6.573,95","122,28",,"1.571,95","1.571,95"
06/28/19,"1.662,54",,"90,59","5,76","6.964,31","135,48",,"1.662,54","1.662,54"
07/31/19,"1.681,02",,"18,48","1,11","7.048,74","138,34",,"1.681,02","1.681,02"
08/30/19,"1.644,94",,"-36,08","-2,15","6.914,68","133,80",,"1.644,94","1.644,94"
09/30/19,"1.680,31",,"35,37","2,15","7.079,69","139,38",,"1.680,31","1.680,31"
10/31/19,"1.710,37",,"30,05","1,79","7.214,62","143,95",,"1.710,37","1.710,37"
11/29/19,"1.761,59",,"51,22","2,99","7.445,40","151,75",,"1.761,59","1.761,59"
12/31/19,"1.799,79",,"38,20","2,17","7.617,61","157,57",,"1.799,79","1.799,79"
01/31/20,"1.793,96",,"-5,83","-0,32","7.600,61","157,00",,"1.793,96","1.793,96"
02/28/20,"1.646,18",,"-147,78","-8,24","6.988,51","136,30",,"1.646,18","1.646,18"
03/31/20,"1.430,96",,"-215,22","-13,07","6.095,95","106,12",,"1.430,96","1.430,96"
04/30/20,"1.579,60",,"148,65","10,39","6.740,00","127,90",,"1.579,60","1.579,60"
05/29/20,"1.651,01",,"71,41","4,52","7.062,70","138,81",,"1.651,01","1.651,01"
06/30/20,"1.687,80",,"36,79","2,23","7.232,59","144,55",,"1.687,80","1.687,80"
07/31/20,"1.743,43",,"55,63","3,30","7.480,28","152,93",,"1.743,43","1.743,43"
08/31/20,"1.850,10",,"106,67","6,12","7.952,14","168,88",,"1.850,10","1.850,10"
09/30/20,"1.793,94",,"-56,16","-3,04","7.725,38","161,22",,"1.793,94","1.793,94"
10/30/20,"1.737,86",,"-56,08","-3,13","7.491,52","153,31",,"1.737,86","1.737,86"
11/30/20,"1.943,70",,"205,84","11,84","8.391,55","183,74",,"1.943,70","1.943,70"
12/31/20,"2.009,91",,"66,21","3,41","8.688,76","193,79",,"2.009,91","2.009,91"
01/29/21,"1.993,17",,"-16,73","-0,83","8.623,73","191,59",,"1.993,17","1.993,17"
02/26/21,"2.043,70",,"50,53","2,54","8.854,94","199,41",,"2.043,70","2.043,70"
03/31/21,"2.125,23",,"81,53","3,99","9.232,82","212,19",,"2.125,23","2.125,23"
04/30/21,"2.208,32",,"83,09","3,91","9.610,34","224,95",,"2.208,32","2.208,32"
05/31/21,"2.227,07",,"18,75","0,85","9.715,07","228,49",,"2.227,07","2.227,07"
06/30/21,"2.277,09",,"50,02","2,25","9.945,80","236,30",,"2.277,09","2.277,09"
07/30/21,"2.314,61",,"37,52","1,65","10.118,75","242,14",,"2.314,61","2.314,61"
08/31/21,"2.373,24",,"58,63","2,53","10.392,40","251,40",,"2.373,24","2.373,24"
09/30/21,"2.282,46",,"-90,78","-3,83","10.013,80","238,60",,"2.282,46","2.282,46"
10/29/21,"2.406,45",,"123,99","5,43","10.567,72","257,33",,"2.406,45","2.406,45"
11/30/21,"2.368,57",,"-37,88","-1,57","10.416,19","252,20",,"2.368,57","2.368,57"
12/31/21,"2.461,23",,"92,66","3,91","10.835,64","266,38",,"2.461,23","2.461,23"
01/31/22,"2.338,56",,"-122,67","-4,98","10.303,43","248,39",,"2.338,56","2.338,56"
02/28/22,"2.273,72",,"-64,84","-2,77","10.033,64","239,27",,"2.273,72","2.273,72"
03/31/22,"2.339,32",,"65,59","2,88","10.351,69","250,02",,"2.339,32","2.339,32"
04/29/22,"2.175,04",,"-164,28","-7,02","9.642,16","226,03",,"2.175,04","2.175,04"
05/31/22,"2.164,74",,"-10,30","-0,47","9.626,98","225,52",,"2.164,74","2.164,74"
06/30/22,"1.994,05",,"-170,69","-7,89","8.882,05","200,33",,"1.994,05","1.994,05"
07/29/22,"2.151,53",,"157,48","7,90","9.592,95","224,37",,"2.151,53","2.151,53"
08/31/22,"2.073,80",,"-77,73","-3,61","9.265,03","213,28",,"2.073,80","2.073,80"
09/30/22,"1.898,03",,"-175,77","-8,48","8.499,40","187,39",,"1.898,03","1.898,03"
10/31/22,"2.032,23",,"134,20","7,07","9.108,90","208,00",,"2.032,23","2.032,23"
11/30/22,"2.144,01",,"111,78","5,50","9.628,39","225,56",,"2.144,01","2.144,01"
12/30/22,"2.033,03",,"-110,98","-5,18","9.142,92","209,15",,"2.033,03","2.033,03"
01/31/23,"2.163,79",,"130,76","6,43","9.739,89","229,33",,"2.163,79","2.163,79"
02/28/23,"2.127,12",,"-36,67","-1,69","9.590,92","224,30",,"2.127,12","2.127,12"
03/31/23,"2.174,50",,"47,38","2,23","9.836,12","232,59",,"2.174,50","2.174,50"
04/28/23,"2.205,90",,"31,40","1,44","9.998,80","238,09",,"2.205,90","2.205,90"
05/31/23,"2.195,59",,"-10,31","-0,47","9.984,88","237,62",,"2.195,59","2.195,59"
06/30/23,"2.317,93",,"122,34","5,57","10.556,40","256,94",,"2.317,93","2.317,93"
07/31/23,"2.383,88",,"65,95","2,85","10.866,79","267,44",,"2.383,88","2.383,88"
08/31/23,"2.338,05",,"-45,83","-1,92","10.680,52","261,14",,"2.338,05","2.338,05"
09/29/23,"2.248,53",,"-89,52","-3,83","10.289,64","247,92",,"2.248,53","2.248,53"
10/31/23,"2.188,03",,"-60,50","-2,69","10.021,84","238,87",,"2.188,03","2.188,03"
11/30/23,"2.366,01",,"177,97","8,13","10.858,43","267,15",,"2.366,01","2.366,01"
12/29/23,"2.462,22",,"96,21","4,07","11.314,06","282,56",,"2.462,22","2.462,22"
01/31/24,"2.504,74",,"42,52","1,73","11.518,86","289,49",,"2.504,74","2.504,74"
02/29/24,"2.617,03",,"112,29","4,48","12.054,22","307,59",,"2.617,03","2.617,03"
03/29/24,"2.700,53",,"83,51","3,19","12.469,90","321,64",,"2.700,53","2.700,53"
04/30/24,"2.609,32",,"-91,21","-3,38","12.071,79","308,18",,"2.609,32","2.609,32"
05/31/24,"2.709,37",,"100,05","3,83","12.570,79","325,05",,"2.709,37","2.709,37"
06/28/24,"2.769,51",,"60,14","2,22","12.866,76","335,06",,"2.769,51","2.769,51"
07/31/24,"2.802,38",,"32,87","1,19","13.030,02","340,58",,"2.802,38","2.802,38"
08/30/24,"2.850,99",,"48,61","1,73","13.277,61","348,95",,"2.850,99","2.850,99"
09/30/24,"2.889,80",,"38,81","1,36","13.482,24","355,87",,"2.889,80","2.889,80"
10/31/24,"2.861,66",,"-28,14","-0,97","13.361,47","351,79",,"2.861,66","2.861,66"
11/29/24,"2.997,91",,"136,24","4,76","14.018,35","374,00",,"2.997,91","2.997,91"
12/31/24,"2.938,11",,"-59,80","-1,99","13.754,35","365,07",,"2.938,11","2.938,11"
01/31/25,"3.038,03",,"99,91","3,40","14.232,96","381,26",,"3.038,03","3.038,03"
02/28/25,"3.006,10",,"-31,92","-1,05","14.101,02","376,80",,"3.006,10","3.006,10"
03/31/25,"2.849,59",,"-156,51","-5,21","13.401,39","353,14",,"2.849,59","2.849,59"
04/30/25,"2.834,75",,"-14,84","-0,52","13.357,33","351,65",,"2.834,75","2.834,75"
05/30/25,"2.996,27",,"161,52","5,70","14.158,30","378,73",,"2.996,27","2.996,27"
06/30/25,"3.106,47",,"110,20","3,68","14.697,42","396,96",,"3.106,47","3.106,47"
07/31/25,"3.167,69",,"61,22","1,97","14.998,32","407,14",,"3.167,69","3.167,69"
08/29/25,"3.229,39",,"61,71","1,95","15.311,86","417,74",,"3.229,39","3.229,39"
09/30/25,"3.329,67",,"100,28","3,11","15.812,47","434,67",,"3.329,67","3.329,67"
10/31/25,"3.413,26",,"83,59","2,51","16.221,97","448,51",,"3.413,26","3.413,26"
11/28/25,"3.418,34",,"5,08","0,15","16.267,19","450,04",,"3.418,34","3.418,34"
12/31/25,"3.433,77",,"15,43","0,45","16.358,79","453,14",,"3.433,77","3.433,77"
01/30/26,"3.490,72",,"56,94","1,66","16.640,58","462,67",,"3.490,72","3.490,72"
02/13/26,"3.478,16",,"-12,55","-0,36","16.588,66","460,91",,"3.478,16","3.478,16"