Price History: CIBOR3M-FDS;;;;;
;;;;;
Date;Yield;Change;% Change;Total Return (Gross);Cumulative Return %
01-30-09;;;;;
02-27-09;;;;;
03-31-09;;;;;
04-30-09;;;;;
05-29-09;;;;;
06-30-09;2,22;2,22;;2,22;
07-31-09;2,01;-0,22;-9,75;2,01;
08-31-09;1,91;-0,10;-4,90;1,91;
09-30-09;1,72;-0,19;-9,79;1,72;
10-30-09;1,56;-0,16;-9,30;1,56;
11-30-09;1,56;0,00;0,13;1,56;
12-31-09;1,55;-0,01;-0,77;1,55;
01-29-10;1,55;;;1,55;
02-26-10;1,55;;;1,55;
03-31-10;1,55;;;1,55;
04-30-10;1,55;;;1,55;
05-28-10;1,55;;;1,55;
06-30-10;1,55;;;1,55;
07-30-10;1,55;;;1,55;
08-31-10;1,55;;;1,55;
09-30-10;1,55;;;1,55;
10-29-10;1,25;-0,30;-19,68;1,25;
11-30-10;1,24;-0,01;-0,80;1,24;
12-31-10;1,21;-0,03;-2,02;1,21;
01-31-11;1,23;0,02;1,24;1,23;
02-28-11;1,25;0,02;1,63;1,25;
03-31-11;1,32;0,07;5,82;1,32;
04-29-11;1,44;0,12;9,30;1,44;
05-31-11;1,47;0,03;1,74;1,47;
06-30-11;1,56;0,09;6,48;1,56;
07-29-11;1,68;0,12;7,85;1,68;
08-31-11;1,52;-0,17;-9,96;1,52;
09-30-11;1,38;-0,14;-9,08;1,38;
10-31-11;1,45;0,07;4,90;1,45;
11-30-11;1,25;-0,20;-13,67;1,25;
12-30-11;1,00;-0,25;-20,04;1,00;
01-31-12;1,00;0,00;0,25;1,00;
02-29-12;1,01;0,01;0,60;1,01;
03-30-12;0,98;-0,03;-2,98;0,98;
04-30-12;0,95;-0,03;-2,92;0,95;
05-31-12;0,84;-0,11;-11,35;0,84;
06-29-12;0,58;-0,26;-30,65;0,58;
07-31-12;0,35;-0,24;-40,34;0,35;
08-31-12;0,31;-0,03;-9,64;0,31;
09-28-12;0,34;0,02;7,64;0,34;
10-31-12;0,33;-0,01;-2,37;0,33;
11-30-12;0,28;-0,05;-15,15;0,28;
12-31-12;0,28;;;0,28;
01-31-13;0,34;0,06;22,86;0,34;
02-28-13;0,32;-0,02;-5,81;0,32;
03-28-13;0,27;-0,06;-18,21;0,27;
04-30-13;0,25;-0,01;-4,72;0,25;
05-31-13;0,24;-0,02;-5,94;0,24;
06-28-13;0,27;0,03;13,68;0,27;
07-31-13;0,27;0,00;-0,93;0,27;
08-30-13;0,28;0,01;3,74;0,28;
09-30-13;0,27;-0,01;-2,70;0,27;
10-31-13;0,27;;;0,27;
11-29-13;0,24;-0,03;-10,19;0,24;
12-31-13;0,26;0,02;6,19;0,26;
01-31-14;0,28;0,02;8,74;0,28;
02-28-14;0,26;-0,02;-6,25;0,26;
03-31-14;0,30;0,04;14,29;0,30;
04-30-14;0,35;0,05;17,50;0,35;
05-30-14;0,34;-0,01;-4,26;0,34;
06-30-14;0,38;0,04;11,11;0,38;
07-31-14;0,38;0,01;1,33;0,38;
08-29-14;0,35;-0,03;-7,89;0,35;
09-30-14;0,29;-0,06;-17,14;0,29;
10-31-14;0,30;0,01;1,72;0,30;
11-28-14;0,31;0,01;3,39;0,31;
12-31-14;0,28;-0,02;-7,38;0,28;
01-30-15;-0,11;-0,39;-138,05;-0,11;
02-27-15;-0,22;-0,11;102,33;-0,22;
03-31-15;-0,16;0,06;-26,44;-0,16;
04-30-15;-0,24;-0,08;48,44;-0,24;
05-29-15;-0,21;0,03;-13,68;-0,21;
06-30-15;-0,21;0,00;0,83;-0,21;
07-31-15;-0,10;0,11;-51,62;-0,10;
08-31-15;-0,07;0,04;-35,00;-0,07;
09-30-15;-0,05;0,02;-23,08;-0,05;
10-30-15;-0,12;-0,07;135,00;-0,12;
11-30-15;-0,16;-0,04;34,04;-0,16;
12-31-15;-0,09;0,07;-42,86;-0,09;
01-29-16;-0,07;0,02;-27,78;-0,07;
02-29-16;-0,09;-0,02;30,77;-0,09;
03-31-16;-0,08;0,00;-2,94;-0,08;
04-29-16;-0,08;0,01;-6,06;-0,08;
05-31-16;-0,11;-0,04;45,16;-0,11;
06-30-16;-0,21;-0,09;84,44;-0,21;
07-29-16;-0,19;0,02;-9,64;-0,19;
08-31-16;-0,20;-0,02;8,00;-0,20;
09-30-16;-0,19;0,01;-4,94;-0,19;
10-31-16;-0,19;0,00;-1,30;-0,19;
11-30-16;-0,18;0,01;-3,95;-0,18;
12-30-16;-0,23;-0,05;27,40;-0,23;
01-31-17;-0,24;0,00;2,15;-0,24;
02-28-17;-0,25;-0,02;6,32;-0,25;
03-31-17;-0,26;0,00;0,99;-0,26;
04-28-17;-0,24;0,02;-5,88;-0,24;
05-31-17;-0,22;0,02;-7,29;-0,22;
06-30-17;-0,24;-0,02;7,87;-0,24;
07-31-17;-0,25;-0,01;3,13;-0,25;
08-31-17;-0,30;-0,05;19,19;-0,30;
09-29-17;-0,31;-0,02;5,08;-0,31;
10-31-17;-0,31;;;-0,31;
11-30-17;-0,30;0,01;-2,42;-0,30;
12-29-17;-0,31;-0,01;3,31;-0,31;
01-31-18;-0,31;;;-0,31;
02-28-18;-0,30;0,01;-3,20;-0,30;
03-29-18;-0,30;0,00;-0,83;-0,30;
04-30-18;-0,29;0,02;-5,00;-0,29;
05-31-18;-0,30;-0,01;3,51;-0,30;
06-29-18;-0,30;-0,01;2,54;-0,30;
07-31-18;-0,30;;;-0,30;
08-31-18;-0,30;0,00;-0,83;-0,30;
09-28-18;-0,30;;;-0,30;
10-31-18;-0,30;0,00;0,83;-0,30;
11-30-18;-0,30;;;-0,30;
12-31-18;-0,28;0,02;-7,44;-0,28;
01-31-19;-0,31;-0,02;8,93;-0,31;
02-28-19;-0,32;-0,01;4,10;-0,32;
03-29-19;-0,32;0,00;-0,79;-0,32;
04-30-19;-0,34;-0,02;7,14;-0,34;
05-31-19;-0,34;0,00;0,74;-0,34;
06-28-19;-0,37;-0,03;9,56;-0,37;
07-31-19;-0,40;-0,03;7,38;-0,40;
08-30-19;-0,47;-0,07;16,25;-0,47;
09-30-19;-0,43;0,03;-6,99;-0,43;
10-31-19;-0,43;0,00;-0,58;-0,43;
11-29-19;-0,40;0,03;-6,98;-0,40;
12-31-19;-0,40;0,00;-0,83;-0,40;
01-31-20;-0,41;-0,01;3,35;-0,41;
02-28-20;-0,45;-0,04;8,95;-0,45;
03-31-20;-0,13;0,31;-70,16;-0,13;
04-30-20;-0,13;;;-0,13;
05-29-20;-0,14;-0,01;5,03;-0,14;
06-30-20;-0,18;-0,04;26,21;-0,18;
07-31-20;-0,19;-0,02;9,39;-0,19;
08-31-20;-0,22;-0,03;15,52;-0,22;
09-30-20;-0,20;0,02;-8,96;-0,20;
10-30-20;-0,23;-0,02;11,51;-0,23;
11-30-20;-0,22;0,01;-2,96;-0,22;
12-31-20;-0,23;-0,01;6,05;-0,23;
01-29-21;-0,24;0,00;1,46;-0,24;
02-26-21;-0,22;0,02;-8,45;-0,22;
03-31-21;-0,21;0,01;-3,09;-0,21;
04-30-21;-0,21;0,00;-1,57;-0,21;
05-28-21;-0,21;0,00;1,60;-0,21;
06-30-21;-0,21;;;-0,21;
07-30-21;-0,21;;;-0,21;
08-31-21;-0,21;;;-0,21;
09-30-21;-0,21;0,00;1,57;-0,21;
10-29-21;-0,27;-0,06;26,58;-0,27;
11-30-21;-0,28;-0,01;2,48;-0,28;
12-31-21;-0,28;0,00;1,19;-0,28;
01-31-22;-0,29;-0,01;4,75;-0,29;
02-28-22;-0,27;0,03;-9,07;-0,27;
03-31-22;-0,22;0,05;-18,75;-0,22;
04-29-22;-0,19;0,03;-13,84;-0,19;
05-31-22;-0,10;0,09;-48,21;-0,10;
06-30-22;0,09;0,19;-193,07;0,09;
07-29-22;0,49;0,40;448,11;0,49;
08-31-22;1,02;0,53;106,77;1,02;
09-30-22;1,56;0,54;53,26;1,56;
10-31-22;1,98;0,42;26,87;1,98;
11-30-22;2,20;0,22;10,93;2,20;
12-30-22;2,45;0,25;11,51;2,45;
01-31-23;2,80;0,34;14,00;2,80;
02-28-23;2,99;0,19;6,79;2,99;
03-31-23;3,15;0,17;5,58;3,15;
04-28-23;3,33;0,18;5,71;3,33;
05-31-23;3,46;0,13;3,80;3,46;
06-30-23;3,64;0,18;5,30;3,64;
07-31-23;3,77;0,12;3,39;3,77;
08-31-23;3,82;0,05;1,42;3,82;
09-29-23;3,98;0,16;4,10;3,98;
10-31-23;3,96;-0,02;-0,42;3,96;
11-30-23;3,94;-0,02;-0,59;3,94;
12-29-23;3,87;-0,06;-1,61;3,87;
01-31-24;3,87;;;3,87;
02-29-24;3,89;0,02;0,43;3,89;
03-28-24;3,84;-0,05;-1,20;3,84;
04-30-24;3,79;-0,05;-1,30;3,79;
05-31-24;3,69;-0,10;-2,72;3,69;
06-28-24;3,62;-0,07;-1,81;3,62;
07-31-24;3,53;-0,10;-2,67;3,53;
08-30-24;3,39;-0,14;-3,88;3,39;
09-30-24;3,21;-0,18;-5,41;3,21;
10-31-24;3,00;-0,21;-6,55;3,00;
11-29-24;2,82;-0,18;-6,01;2,82;
12-31-24;2,67;-0,15;-5,33;2,67;
01-31-25;2,53;-0,14;-5,13;2,53;
02-28-25;2,39;-0,14;-5,66;2,39;
03-31-25;2,27;-0,12;-4,89;2,27;
04-30-25;2,09;-0,18;-7,78;2,09;
05-30-25;1,99;-0,11;-5,09;1,99;
06-30-25;1,96;-0,03;-1,34;1,96;
07-31-25;1,97;0,01;0,34;1,97;
08-29-25;1,97;;;1,97;
09-30-25;1,98;0,02;0,84;1,98;
10-31-25;1,99;0,00;0,17;1,99;
11-28-25;1,99;0,00;0,17;1,99;
12-31-25;2,00;0,01;0,50;2,00;
